event_id,user_id,session_id,product_id,event_type,event_time,device
200b7ef7-66ae-4fc1-8e25-477d217b806b,571,57cc3260-fc54-48bf-b699-48f45b011dee,25456,view,2026-01-28 21:09:33.732043,mobile
35e35380-e75d-4086-b864-64130c75aec9,571,57cc3260-fc54-48bf-b699-48f45b011dee,25456,cart,2026-01-28 21:09:59.732043,mobile
aa75cfb1-5a46-4322-8ebe-f302eba53b4f,571,57cc3260-fc54-48bf-b699-48f45b011dee,24319,view,2026-01-28 21:11:06.732043,mobile
aa44842e-f28a-4d2c-b797-865724bb06e6,571,57cc3260-fc54-48bf-b699-48f45b011dee,12484,view,2026-01-28 21:13:02.732043,mobile
950bbb6d-e853-4f66-b6f5-5ec9302e81ec,571,57cc3260-fc54-48bf-b699-48f45b011dee,12484,cart,2026-01-28 21:13:50.732043,mobile
77cdbbfa-3ca1-4f9c-9f91-1e0b336f9afc,571,57cc3260-fc54-48bf-b699-48f45b011dee,4770,view,2026-01-28 21:14:05.732043,mobile
90debe43-6e01-41e1-97ad-94d1770fe27f,571,57cc3260-fc54-48bf-b699-48f45b011dee,47469,view,2026-01-28 21:15:30.732043,tablet
64cdcca8-4e27-48ed-930e-1759b45b0b21,214,c8b602ef-05e2-48be-b924-420c5818e753,1005,view,2026-01-19 21:57:33.732043,mobile
511ed2bd-424f-4453-9226-35ff6a7a0e83,214,c8b602ef-05e2-48be-b924-420c5818e753,7689,view,2026-01-19 21:59:17.732043,tablet
c53c231d-2f79-4ab6-b629-91df40f8653a,214,c8b602ef-05e2-48be-b924-420c5818e753,15899,view,2026-01-19 22:00:28.732043,tablet
dd773cc7-0ce3-4352-b765-4fe80dc9df3b,214,c8b602ef-05e2-48be-b924-420c5818e753,25994,view,2026-01-19 22:01:04.732043,mobile
3a72e8ea-360a-41fb-a467-336c876de816,214,c8b602ef-05e2-48be-b924-420c5818e753,18551,view,2026-01-19 22:02:53.732043,desktop
5bee8e4e-3df9-4897-bead-912e9a637a27,214,c8b602ef-05e2-48be-b924-420c5818e753,23545,view,2026-01-19 22:04:26.732043,desktop
12eef850-6b08-48da-8476-a2ae11079ee6,214,c8b602ef-05e2-48be-b924-420c5818e753,23545,cart,2026-01-19 22:05:03.732043,desktop
49d9f787-1fc4-4c2a-81eb-5998451f465e,214,c8b602ef-05e2-48be-b924-420c5818e753,6463,view,2026-01-19 22:06:12.732043,tablet
9e610947-7d0e-4237-84ad-8225bd7a0b2e,328,f06bcbf2-5298-42fa-bdae-4554cced5e7c,20508,view,2026-01-14 00:08:33.732043,desktop
2ace1fbe-d401-4c79-ab0d-96882112c675,328,f06bcbf2-5298-42fa-bdae-4554cced5e7c,20508,cart,2026-01-14 00:09:33.732043,desktop
01ae56d8-b9fb-4fe9-b189-0e1ba7f87b64,328,f06bcbf2-5298-42fa-bdae-4554cced5e7c,20508,purchase,2026-01-14 00:10:21.732043,desktop
d1e01837-68e0-4566-bab3-9dc1d2adc6a3,328,f06bcbf2-5298-42fa-bdae-4554cced5e7c,17091,view,2026-01-14 00:10:33.732043,tablet
0dbf8869-0c1d-4809-b9f8-96b6afa7a3e5,328,f06bcbf2-5298-42fa-bdae-4554cced5e7c,47187,view,2026-01-14 00:11:57.732043,desktop
6d5b78ed-7501-4949-ac7d-4c92db4d56fb,328,f06bcbf2-5298-42fa-bdae-4554cced5e7c,47187,cart,2026-01-14 00:12:14.732043,desktop
8e27c658-9c3b-41a8-9b48-2e8c9fadddd3,328,f06bcbf2-5298-42fa-bdae-4554cced5e7c,47187,purchase,2026-01-14 00:13:32.732043,desktop
c4ab866f-bfe6-4e04-9294-de7a2f26825c,328,f06bcbf2-5298-42fa-bdae-4554cced5e7c,16105,view,2026-01-14 00:14:54.732043,desktop
832c329d-2504-4494-8f78-e2c1fc925e2d,328,f06bcbf2-5298-42fa-bdae-4554cced5e7c,22123,view,2026-01-14 00:16:31.732043,desktop
c7c21961-2e1d-4637-98e9-33a6e5b0d5f1,328,f06bcbf2-5298-42fa-bdae-4554cced5e7c,47420,view,2026-01-14 00:17:43.732043,tablet
c72c8b67-676d-4978-9e38-f444979e6b0b,328,f06bcbf2-5298-42fa-bdae-4554cced5e7c,11026,view,2026-01-14 00:18:51.732043,tablet
1509f07d-8318-47f5-9970-04e23090cce7,328,f06bcbf2-5298-42fa-bdae-4554cced5e7c,9173,view,2026-01-14 00:19:22.732043,tablet
